Constituent,Phase,Amplitude
2MN6,288.20932396716887,0.0012942781185281951
2MS6,245.04827763217182,0.00335334014518005
2Q1,290.34824697544127,0.010331403175980428
2SM2,16.29164219002061,0.005134424838446286
2SM6,287.69746687684074,0.0017949843110036698
J1,228.73446688350526,0.01410364999643947
K1,210.1661430326967,0.09563688762676294
L2,155.28875598073267,0.001715244290674098
M2,162.87175651145085,0.03203579614842321
M3,67.18706851857405,0.0015640643636040535
M4,91.46826184647767,0.010202030237745014
M6,223.19470858214834,0.001496825469474404
M8,214.26705512738818,0.0006055579642976014
MK3,221.41454276963515,0.007714781387858751
MN4,76.4682254040464,0.0062464639458226084
MNS2,89.07343739209601,0.003308315577085572
MO3,80.09575426271778,0.002056331824370558
MS4,131.9086584433007,0.00682705819449723
MSf,192.009506714066,0.044481366475370425
Mm,40.49792506932647,0.05325484598736269
N2,202.45353328135934,0.007259938000288664
NO1,331.64627918233316,0.030981852460270614
O1,214.63941415449645,0.15358676247094916
OO1,265.11111846869335,0.004512131301954144
Q1,190.52769352684777,0.03807278527399223
S2,176.05433954230134,0.01968469530489514
S4,173.66468506455985,0.002405979455178017
S6,193.07857682702056,0.0011656130655546574
SK3,76.0827608807216,0.005621675328340501
SN4,123.56086145224887,0.0029564699599275695
eta2,206.53074569726556,0.004785285402863672
mu2,153.85480300992413,0.0010574097706151833
ups1,96.95822432450007,0.0038706837068889425
