0.0002399467,202.0714762471,0.5058680498,350.8188143000
0.0017077527,346.3666507658,0.2625161708,214.1876535825
0.0033445340,0.1502647021,0.7588020747,166.2282214537
0.1281757541,243.1075727436,1.0117360997,341.6376286000
0.0372113640,172.0052909358,1.5176041495,332.4564429075
0.0070382923,330.6224323022,2.0234721993,323.2752572000
0.0120991423,98.5309628706,1.5707963268,0.0000000000
0.0014569972,287.9140305364,0.2433518790,140.2389958873
0.0015653089,188.4111997760,0.5235987756,0.0000000000
0.0077311058,144.9989251410,1.5353348753,341.6376286000
0.0387286119,192.2633829195,1.5530656010,350.8188142926
0.1600550894,213.8095625802,0.0177307258,7.6864103373
0.0173807778,199.6755184137,0.7861149464,214.1876535863
0.0068909891,309.9869682431,0.5413295014,9.1811857000
0.0029896039,287.5421101458,1.0294668254,350.8188143075
0.0033888470,344.6810633684,1.0471975512,0.0000000000
