DateTime,D0,Ref,R20,R30
8/26/2012 6:30,0.0369372,-0.234936,-0.240202,-0.22651
8/26/2012 6:35,0.0402706,-0.233601,-0.238654,-0.225568
8/26/2012 6:40,0.0434834,-0.232079,-0.236373,-0.224585
8/26/2012 6:45,0.0448826,-0.231204,-0.234748,-0.224091
8/26/2012 6:50,0.0448496,-0.231128,-0.234499,-0.224051
8/26/2012 6:55,0.0452217,-0.231122,-0.234676,-0.223992
8/26/2012 7:00,0.0458561,-0.230866,-0.234323,-0.223873
8/26/2012 7:05,0.0457998,-0.230797,-0.233899,-0.22388
8/26/2012 7:10,0.0456074,-0.23087,-0.233787,-0.223955
8/26/2012 7:15,0.0459002,-0.230743,-0.233537,-0.223846
8/26/2012 7:20,0.0467491,-0.230351,-0.232952,-0.223483
8/26/2012 7:25,0.048827,-0.229489,-0.232048,-0.22282
8/26/2012 7:30,0.0525598,-0.227841,-0.229818,-0.221683
8/26/2012 7:35,0.0571124,-0.225602,-0.226279,-0.220182
8/26/2012 7:40,0.0608908,-0.223453,-0.222774,-0.218858
8/26/2012 7:45,0.0625662,-0.222267,-0.220955,-0.218166
8/26/2012 7:50,0.0630943,-0.221956,-0.220874,-0.217932
8/26/2012 7:55,0.0636059,-0.221821,-0.220651,-0.217678
8/26/2012 8:00,0.0642534,-0.22158,-0.22015,-0.217371
8/26/2012 8:05,0.0646813,-0.221379,-0.219627,-0.217177
8/26/2012 8:10,0.0651695,-0.221192,-0.219059,-0.217009
8/26/2012 8:15,0.0662685,-0.220706,-0.218696,-0.216685
8/26/2012 8:20,0.0674818,-0.220015,-0.218176,-0.216173
8/26/2012 8:25,0.0690079,-0.219222,-0.217631,-0.21552
8/26/2012 8:30,0.0711246,-0.218095,-0.21645,-0.21467
8/26/2012 8:35,0.0729335,-0.216957,-0.214458,-0.21382
8/26/2012 8:40,0.0738282,-0.216291,-0.213144,-0.213354
8/26/2012 8:45,0.0737467,-0.216226,-0.213238,-0.213329
8/26/2012 8:50,0.0735592,-0.216404,-0.213828,-0.213352
8/26/2012 8:55,0.0740465,-0.216248,-0.213707,-0.213108
8/26/2012 9:00,0.0749076,-0.21573,-0.213005,-0.212757
8/26/2012 9:05,0.0757163,-0.215143,-0.211975,-0.212448
8/26/2012 9:10,0.0767305,-0.214491,-0.210872,-0.212046
8/26/2012 9:15,0.078214,-0.213539,-0.209556,-0.211481
8/26/2012 9:20,0.0798045,-0.21243,-0.208203,-0.210773
8/26/2012 9:25,0.0817232,-0.211165,-0.206828,-0.209923
8/26/2012 9:30,0.0835841,-0.209807,-0.204969,-0.209026
8/26/2012 9:35,0.0847745,-0.208766,-0.203456,-0.208379
8/26/2012 9:40,0.0849335,-0.208332,-0.202854,-0.208208
8/26/2012 9:45,0.0844825,-0.208433,-0.202953,-0.208248
8/26/2012 9:50,0.0846562,-0.208337,-0.20287,-0.208072
8/26/2012 9:55,0.0855895,-0.207652,-0.20205,-0.207561
8/26/2012 10:00,0.0867441,-0.206681,-0.200812,-0.206941
8/26/2012 10:05,0.0878251,-0.205737,-0.199482,-0.206364
8/26/2012 10:10,0.0890671,-0.204769,-0.198106,-0.20571
8/26/2012 10:15,0.0905925,-0.203636,-0.1967,-0.2049
8/26/2012 10:20,0.0923791,-0.202322,-0.195216,-0.203939
8/26/2012 10:25,0.0943617,-0.200817,-0.193461,-0.20292
8/26/2012 10:30,0.0958589,-0.199451,-0.19163,-0.202085
8/26/2012 10:35,0.0961976,-0.198815,-0.190484,-0.201719
8/26/2012 10:40,0.0956898,-0.198964,-0.190259,-0.201771
8/26/2012 10:45,0.0955095,-0.199141,-0.190293,-0.201762
8/26/2012 10:50,0.0962227,-0.198686,-0.189833,-0.201303
8/26/2012 10:55,0.0974219,-0.197718,-0.188842,-0.200526
8/26/2012 11:00,0.098654,-0.196644,-0.187663,-0.19974
8/26/2012 11:05,0.0998447,-0.195634,-0.186254,-0.198941
8/26/2012 11:10,0.101387,-0.194493,-0.184495,-0.197996
8/26/2012 11:15,0.103431,-0.192949,-0.182534,-0.196814
8/26/2012 11:20,0.105543,-0.1912,-0.180662,-0.195524
8/26/2012 11:25,0.107121,-0.189664,-0.17912,-0.194386
8/26/2012 11:30,0.107243,-0.189086,-0.178336,-0.193879
8/26/2012 11:35,0.106052,-0.189723,-0.179178,-0.194201
8/26/2012 11:40,0.104608,-0.190858,-0.180957,-0.19482
8/26/2012 11:45,0.104003,-0.19151,-0.182201,-0.195049
8/26/2012 11:50,0.10417,-0.191411,-0.182235,-0.194756
8/26/2012 11:55,0.104686,-0.19094,-0.181694,-0.194218
8/26/2012 12:00,0.105485,-0.190239,-0.181037,-0.193564
8/26/2012 12:05,0.106559,-0.189339,-0.180064,-0.192747
8/26/2012 12:10,0.10801,-0.188152,-0.178518,-0.191701
8/26/2012 12:15,0.109674,-0.186718,-0.176523,-0.190456
8/26/2012 12:20,0.111242,-0.185207,-0.174574,-0.189169
8/26/2012 12:25,0.111728,-0.184274,-0.173452,-0.188348
8/26/2012 12:30,0.11041,-0.184764,-0.174246,-0.188504
8/26/2012 12:35,0.107926,-0.186519,-0.176772,-0.189434
8/26/2012 12:40,0.106114,-0.188188,-0.179303,-0.190208
8/26/2012 12:45,0.105885,-0.188595,-0.180092,-0.190154
8/26/2012 12:50,0.106351,-0.188134,-0.179531,-0.189576
8/26/2012 12:55,0.107036,-0.187421,-0.178666,-0.188844
8/26/2012 13:00,0.107935,-0.186588,-0.177893,-0.187974
8/26/2012 13:05,0.109392,-0.185381,-0.176877,-0.186876
8/26/2012 13:10,0.111127,-0.183866,-0.175323,-0.185608
8/26/2012 13:15,0.113141,-0.182087,-0.173405,-0.18424
8/26/2012 13:20,0.114538,-0.180451,-0.171437,-0.183099
8/26/2012 13:25,0.114012,-0.180139,-0.171105,-0.182936
8/26/2012 13:30,0.111107,-0.181895,-0.173546,-0.18419
8/26/2012 13:35,0.107268,-0.184954,-0.17795,-0.18613
8/26/2012 13:40,0.10498,-0.187219,-0.181528,-0.187444
8/26/2012 13:45,0.104433,-0.187855,-0.182555,-0.187726
8/26/2012 13:50,0.104344,-0.187804,-0.18248,-0.187633
8/26/2012 13:55,0.104467,-0.18763,-0.182392,-0.187451
8/26/2012 14:00,0.10505,-0.187189,-0.181971,-0.187023
8/26/2012 14:05,0.106222,-0.186288,-0.181061,-0.186305
8/26/2012 14:10,0.10763,-0.1851,-0.179637,-0.185425
8/26/2012 14:15,0.109137,-0.183746,-0.177715,-0.184491
8/26/2012 14:20,0.109556,-0.182846,-0.176237,-0.184029
8/26/2012 14:25,0.107223,-0.18386,-0.177166,-0.184943
8/26/2012 14:30,0.102092,-0.187309,-0.181613,-0.187434
8/26/2012 14:35,0.0964082,-0.191687,-0.187785,-0.190374
8/26/2012 14:40,0.0928864,-0.194768,-0.192318,-0.192375
8/26/2012 14:45,0.0914072,-0.195984,-0.193911,-0.193249
8/26/2012 14:50,0.090159,-0.196633,-0.194433,-0.193804
8/26/2012 14:55,0.0893477,-0.197128,-0.194932,-0.194186
8/26/2012 15:00,0.089319,-0.197135,-0.194907,-0.194218
8/26/2012 15:05,0.0898569,-0.196666,-0.194232,-0.193958
8/26/2012 15:10,0.090442,-0.196071,-0.193282,-0.193618
8/26/2012 15:15,0.0909115,-0.195466,-0.192211,-0.193336
8/26/2012 15:20,0.0896852,-0.195562,-0.191756,-0.193717
8/26/2012 15:25,0.0847634,-0.19775,-0.194077,-0.195686
8/26/2012 15:30,0.0761282,-0.202308,-0.199909,-0.199198
8/26/2012 15:35,0.0668218,-0.207477,-0.206857,-0.202898
8/26/2012 15:40,0.0604618,-0.211089,-0.211807,-0.205417
8/26/2012 15:45,0.056943,-0.21275,-0.213926,-0.206727
8/26/2012 15:50,0.0536447,-0.213862,-0.21508,-0.207729
8/26/2012 15:55,0.0507837,-0.214906,-0.216077,-0.208601
8/26/2012 16:00,0.0490946,-0.215502,-0.216599,-0.209108
